Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,PAK,Both,15 - 24,2205,0.42,0.96,7.1,18.27,37.16,2.12,10.92,0.226,Asia,Asia,0.28,0.15,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,NIC,Males,25 - 34,337,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,PAK,Both,25 - 34,3465,0.42,0.96,7.1,18.27,37.16,2.12,10.92,0.226,Asia,Asia,0.28,0.15,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,NIC,Females,0 - 14,71,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Both,65+,6,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,MAR,Females,65+,392,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,239464,2,1.35,44400000,0,0,0
2008,MAR,Females,All,31222,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,239464,2,1.35,44400000,0,0,0
2008,MAR,Males,0 - 14,6807,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,15 - 24,11529,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,25 - 34,14627,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,35 - 44,5413,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,45 - 54,1464,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,NIC,Both,All,2893,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,MAR,Males,55 - 64,431,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,All,40539,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,NIC,Both,0 - 14,138,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,15 - 24,686,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,25 - 34,1175,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,35 - 44,641,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,45 - 54,211,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,55 - 64,35,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,8404,6,12.94,44400000,1,0,0
