País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;Francia;De 65 y más años;Hombre;2021;1.323
Total;Francia;De 65 y más años;Mujer;2022;771
Total;Francia;De 65 y más años;Mujer;2021;1.177
Total;Irlanda;Total;Ambos Sexos;2022;3.517
Total;Irlanda;Total;Ambos Sexos;2021;4.451
Total;Irlanda;Total;Hombre;2022;1.953
Total;Irlanda;Total;Hombre;2021;2.375
Total;Irlanda;Total;Mujer;2022;1.564
Total;Irlanda;Total;Mujer;2021;2.076
Total;Irlanda;De 0 a 15 años;Ambos Sexos;2022;350
Total;Irlanda;De 0 a 15 años;Ambos Sexos;2021;332
Total;Irlanda;De 0 a 15 años;Hombre;2022;189
Total;Irlanda;De 0 a 15 años;Hombre;2021;165
Total;Irlanda;De 0 a 15 años;Mujer;2022;161
Total;Irlanda;De 0 a 15 años;Mujer;2021;167
Total;Irlanda;De 16 a 24 años;Ambos Sexos;2022;393
Total;Irlanda;De 16 a 24 años;Ambos Sexos;2021;490
Total;Irlanda;De 16 a 24 años;Hombre;2022;151
Total;Irlanda;De 16 a 24 años;Hombre;2021;196
Total;Irlanda;De 16 a 24 años;Mujer;2022;242
Total;Irlanda;De 16 a 24 años;Mujer;2021;294
Total;Irlanda;De 25 a 34 años;Ambos Sexos;2022;670
Total;Irlanda;De 25 a 34 años;Ambos Sexos;2021;699
Total;Irlanda;De 25 a 34 años;Hombre;2022;389
Total;Irlanda;De 25 a 34 años;Hombre;2021;391
Total;Irlanda;De 25 a 34 años;Mujer;2022;281
Total;Irlanda;De 25 a 34 años;Mujer;2021;308
Total;Irlanda;De 35 a 44 años;Ambos Sexos;2022;554
Total;Irlanda;De 35 a 44 años;Ambos Sexos;2021;575
Total;Irlanda;De 35 a 44 años;Hombre;2022;321
Total;Irlanda;De 35 a 44 años;Hombre;2021;328
Total;Irlanda;De 35 a 44 años;Mujer;2022;233
Total;Irlanda;De 35 a 44 años;Mujer;2021;247
Total;Irlanda;De 45 a 54 años;Ambos Sexos;2022;488
Total;Irlanda;De 45 a 54 años;Ambos Sexos;2021;601
Total;Irlanda;De 45 a 54 años;Hombre;2022;286
Total;Irlanda;De 45 a 54 años;Hombre;2021;344
Total;Irlanda;De 45 a 54 años;Mujer;2022;202
Total;Irlanda;De 45 a 54 años;Mujer;2021;257
Total;Irlanda;De 55 a 64 años;Ambos Sexos;2022;599
Total;Irlanda;De 55 a 64 años;Ambos Sexos;2021;897
Total;Irlanda;De 55 a 64 años;Hombre;2022;334
Total;Irlanda;De 55 a 64 años;Hombre;2021;470
Total;Irlanda;De 55 a 64 años;Mujer;2022;265
Total;Irlanda;De 55 a 64 años;Mujer;2021;427
Total;Irlanda;De 65 y más años;Ambos Sexos;2022;463
Total;Irlanda;De 65 y más años;Ambos Sexos;2021;857
Total;Irlanda;De 65 y más años;Hombre;2022;283
Total;Irlanda;De 65 y más años;Hombre;2021;481
Total;Irlanda;De 65 y más años;Mujer;2022;180
Total;Irlanda;De 65 y más años;Mujer;2021;376
Total;Italia;Total;Ambos Sexos;2022;48.797
Total;Italia;Total;Ambos Sexos;2021;42.101
Total;Italia;Total;Hombre;2022;25.915
Total;Italia;Total;Hombre;2021;22.566
Total;Italia;Total;Mujer;2022;22.882
Total;Italia;Total;Mujer;2021;19.535
Total;Italia;De 0 a 15 años;Ambos Sexos;2022;5.437
Total;Italia;De 0 a 15 años;Ambos Sexos;2021;4.383
Total;Italia;De 0 a 15 años;Hombre;2022;2.787
Total;Italia;De 0 a 15 años;Hombre;2021;2.283
Total;Italia;De 0 a 15 años;Mujer;2022;2.650
Total;Italia;De 0 a 15 años;Mujer;2021;2.100
Total;Italia;De 16 a 24 años;Ambos Sexos;2022;6.658
Total;Italia;De 16 a 24 años;Ambos Sexos;2021;5.739
Total;Italia;De 16 a 24 años;Hombre;2022;3.205
Total;Italia;De 16 a 24 años;Hombre;2021;2.757
Total;Italia;De 16 a 24 años;Mujer;2022;3.453
Total;Italia;De 16 a 24 años;Mujer;2021;2.982
Total;Italia;De 25 a 34 años;Ambos Sexos;2022;15.402
Total;Italia;De 25 a 34 años;Ambos Sexos;2021;13.331
Total;Italia;De 25 a 34 años;Hombre;2022;8.038
Total;Italia;De 25 a 34 años;Hombre;2021;7.140
Total;Italia;De 25 a 34 años;Mujer;2022;7.364
Total;Italia;De 25 a 34 años;Mujer;2021;6.191
Total;Italia;De 35 a 44 años;Ambos Sexos;2022;9.187
Total;Italia;De 35 a 44 años;Ambos Sexos;2021;7.568
Total;Italia;De 35 a 44 años;Hombre;2022;5.310
